"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",82210,29863,55,594,7174,
"Belgium",58184,123501,86,23384,23087,
"Bulgaria",2090,1301,,178080,24829,
"Croatia",2548,940,,58478,229,
"Cyprus",341,468,,213,,
"Czech Republic",10713,5159,9,162740,28043,
"Denmark",58249,67834,228,4,268,
"Estonia",2293,420,1,6212,2072,
"Finland",23717,77158,1,14,14459,
"France",511149,274096,669,170723,11938,
"Germany",699802,610279,1252,358598,95707,
"Greece",3311,6826,,237307,4620,
"Hungary",10626,9552,,24141,2907,
"Ireland",21530,17742,,,,
"Italy",132110,115078,45,2561488,1074031,
"Latvia",1428,339,,48940,231,
"Lithuania",2832,1631,,92907,260,
"Luxembourg",9078,9249,3,358,189,
"Malta",2180,714,,120,,
"Netherlands",252698,137740,503,129683,12602,12
"Poland",13928,15634,74,3506040,6826,
"Portugal",52426,43448,3,54033,282,
"Romania",11994,4844,,229020,370,
"Slovakia",3147,2655,2,50858,3019,
"Slovenia",5574,1088,,11583,330,
"Spain",83234,86507,19,66784,21963,
"Sweden",124272,210293,63,0,52544,
