DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1993,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1994,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1995,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1996,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1997,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1998,71000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,1999,71053,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2000,71059,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2013,88750,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2014,88753,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2015,88759,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2016,97745,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2017,102463,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2018,100633,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2019,94146,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2020,91238,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,AT,2021,90250,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1979,109837,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1980,110258,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1981,110186,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1982,112079,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1983,115006,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1984,117860,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1985,119000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1986,120000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1987,121000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1988,122000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1989,123200,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1990,124100,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1991,125000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1992,125900,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1993,125900,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1994,126800,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1995,127600,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1996,128200,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1997,129400,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1998,130300,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,1999,130900,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2000,131520,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2001,132540,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2002,133330,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2003,134130,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2004,134940,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2005,135745,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2006,136559,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2007,137379,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2008,137870,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2009,138000,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BE,2010,138869,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,BG,1990,29918,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1988,51197,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1989,51197,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1990,51197,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1991,51197,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1992,51197,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1993,51197,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1994,51197,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1995,51197,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,CH,1996,51197,d
