Country,Total,Paved,Unpaved,Controlled_access,Year
World,63690567.0,,,,2021
United States,6832000.0,5124000.0,1708000.0,95648.0,2023
India,6700000.0,4500000.0,2200000.0,5718.0,2023
China,5200000.0,4578000.0,622000.0,161000.0,2022
Brazil,2000000.0,214000.0,1786000.0,17000.0,2023
Russia,1538875.0,677105.0,861770.0,11494.0,2019
Japan,1218772.0,992835.0,225937.0,30469.0,2021
France,1053215.0,1053215.0,0.0,11671.0,2011
Canada,1042300.0,415600.0,626700.0,17041.0,2014
Australia,873573.0,145928.0,727645.0,1716.0,2015
Mexico,817596.0,175526.0,641986.0,13540.0,2020
South Africa,750000.0,158124.0,591876.0,1927.0,2016
Thailand,702989.0,,,535.3,2020
Spain,683175.0,683175.0,0.0,16205.0,2011
Germany,644480.0,644480.0,0.0,13183.0,2020
Sweden,573134.0,140100.0,433034.0,2050.0,2016
Vietnam,570448.0,148338.0,47130.0,1276.0,2019
Indonesia,544474.0,283102.0,213505.0,2756.0,2019
Italy,487700.0,487700.0,0.0,6700.0,2007
Finland,454000.0,78000.0,350000.0,863.0,2019
Turkey,438633.0,24082.0,43251.0,3250.0,2020
United Kingdom,424129.0,424129.0,0.0,3701.0,2020
Poland,423997.0,291000.0,129000.0,4935.0,2022
Bangladesh,369105.0,110311.0,258794.0,55.0,2018
Argentina,281290.0,117616.0,163674.0,4423.0,2017
Pakistan,263775.0,185063.0,78712.0,2800.0,2022
Malaysia,238823.0,116169.0,28234.0,2001.0,2016
Iran,223485.0,195485.0,28000.0,,2018
Saudi Arabia,221372.0,47529.0,173843.0,3891.0,2006
Philippines,216387.0,61093.0,155294.0,626.0,2020
Hungary,210791.0,77087.0,126514.0,1481.0,2018
Uzbekistan,209496.0,120289.0,89207.0,3993.0,2021
Colombia,204389.0,32280.0,172109.0,2100.0,2021
Nigeria,195000.0,60000.0,135000.0,,2017
Kenya,177800.0,14420.0,147032.0,,2018
Peru,175589.0,29579.0,146010.0,827.0,2021
Ukraine,169694.0,166095.0,3599.0,17.0,2012
Myanmar,157000.0,34700.0,122300.0,,2013
DR Congo,152373.0,3047.0,149326.0,,2015
Uganda,146000.0,4257.0,16287.0,,2019
Algeria,141000.0,117000.0,24000.0,,2023
Mali,139107.0,0.0,139107.0,,2018
Netherlands,139000.0,,,3530.0,
Austria,126400.0,,,2258.0,2021
Ethiopia,120171.0,0.0,120171.0,,2018
Belgium,118414.0,118414.0,0.0,1747.0,2015
Greece,117000.0,117000.0,0.0,2368.0,2018
Sri Lanka,114093.0,16977.0,97116.0,,2010
Mongolia,113200.0,10600.0,102600.0,,2017
South Korea,110714.0,92795.0,7633.0,4767.0,2018
Ghana,109515.0,13787.0,95728.0,,2009
Ireland,99830.0,99830.0,,2717.0,2018
Zimbabwe,97267.0,18481.0,78786.0,,2019
New Zealand,96817.0,64957.0,31860.0,232.0,2020
Kazakhstan,95409.0,13787.0,95728.0,,2017
Tanzania,87581.0,10025.0,77556.0,,2015
Romania,86494.0,49873.0,34312.0,910.0,2020
Chile,85983.0,21289.0,64695.0,3347.0,2020
Lithuania,84166.0,72297.0,11869.0,309.0,2014
Switzerland,84114.0,,,1544.0,2021
Nepal,80078.0,13046.0,67032.0,,2015
